CustomerID,Segment
DN-13690,Consumer
MS-17365,Consumer
SB-20185,Consumer
RP-19390,Consumer
IM-15070,Consumer
RD-19930,Consumer
PO-18865,Consumer
WB-21850,Consumer
GA-14515,Consumer
SC-20020,Consumer
MO-17500,Consumer
SG-20605,Consumer
BT-11680,Consumer
JS-15880,Consumer
MN-17935,Consumer
AR-10540,Consumer
JD-16060,Consumer
EB-13930,Consumer
RF-19840,Consumer
PJ-19015,Consumer
TB-21520,Consumer
CS-11860,Consumer
DV-13465,Consumer
GW-14605,Consumer
GZ-14470,Consumer
LS-17245,Consumer
ME-17725,Consumer
LD-17005,Consumer
AG-10390,Consumer
ML-17410,Consumer
BK-11260,Consumer
BS-11665,Consumer
SS-20410,Consumer
JE-15715,Consumer
VD-21670,Consumer
LT-16765,Consumer
ZC-21910,Consumer
PS-18760,Consumer
HL-15040,Consumer
NF-18385,Consumer
EM-14065,Consumer
AA-10315,Consumer
GT-14710,Consumer
CA-12265,Consumer
AS-10240,Consumer
TT-21070,Consumer
PB-19105,Consumer
TB-21250,Consumer
SV-20365,Consumer
TD-20995,Consumer
TG-21640,Consumer
TB-21280,Consumer
AA-10375,Consumer
LS-17230,Consumer
CB-12025,Consumer
JP-15520,Consumer
SC-20380,Consumer
TR-21325,Consumer
GA-14725,Consumer
LR-16915,Consumer
JA-15970,Consumer
FO-14305,Consumer
AS-10090,Consumer
JM-15535,Consumer
MS-17710,Consumer
MH-17455,Consumer
SA-20830,Consumer
KM-16660,Consumer
MS-17530,Consumer
RL-19615,Consumer
CM-12445,Consumer
LL-16840,Consumer
MV-18190,Consumer
EP-13915,Consumer
TS-21505,Consumer
SP-20920,Consumer
MS-17830,Consumer
SC-20725,Consumer
NC-18415,Consumer
Co-12640,Consumer
SC-20575,Consumer
PR-18880,Consumer
MG-18145,Consumer
DB-13615,Consumer
TB-21625,Consumer
KH-16510,Consumer
FP-14320,Consumer
JL-15130,Consumer
SJ-20500,Consumer
RC-19825,Consumer
NW-18400,Consumer
CT-11995,Consumer
RM-19375,Consumer
BT-11440,Consumer
MG-17695,Consumer
EC-14050,Consumer
BM-11140,Consumer
TS-21340,Consumer
BD-11500,Consumer
TC-21295,Consumer
CA-12775,Consumer
KW-16570,Consumer
CC-12145,Consumer
MB-18085,Consumer
GM-14500,Consumer
JE-15745,Consumer
SF-20200,Consumer
HG-14845,Consumer
TS-21610,Consumer
JG-15115,Consumer
SW-20245,Consumer
IG-15085,Consumer
DL-12865,Consumer
AA-10645,Consumer
ZD-21925,Consumer
KL-16645,Consumer
GH-14425,Consumer
JM-15865,Consumer
DC-12850,Consumer
AM-10705,Consumer
KT-16465,Consumer
AT-10735,Consumer
HA-14905,Consumer
CD-11920,Consumer
SM-20005,Consumer
AZ-10750,Consumer
MV-17485,Consumer
PO-18850,Consumer
RD-19900,Consumer
JB-15925,Consumer
MH-18025,Consumer
SS-20590,Consumer
JK-15730,Consumer
MB-17305,Consumer
CV-12295,Consumer
BD-11620,Consumer
IL-15100,Consumer
BD-11635,Consumer
AB-10015,Consumer
DF-13135,Consumer
TH-21100,Consumer
HF-14995,Consumer
BP-11290,Consumer
AH-10210,Consumer
CC-12670,Consumer
RA-19285,Consumer
TM-21010,Consumer
GM-14440,Consumer
AA-10480,Consumer
BG-11035,Consumer
AJ-10945,Consumer
JF-15415,Consumer
ES-14020,Consumer
JS-16030,Consumer
MC-17845,Consumer
VG-21790,Consumer
BD-11605,Consumer
JM-16195,Consumer
HA-14920,Consumer
SE-20110,Consumer
KA-16525,Consumer
LP-17080,Consumer
RB-19330,Consumer
DM-13015,Consumer
AH-10585,Consumer
BF-11080,Consumer
DK-12985,Consumer
TZ-21580,Consumer
TT-21220,Consumer
HG-15025,Consumer
RE-19450,Consumer
PW-19240,Consumer
RD-19585,Consumer
BG-11740,Consumer
KD-16270,Consumer
RE-19405,Consumer
PF-19120,Consumer
JK-15205,Consumer
CR-12730,Consumer
DD-13570,Consumer
RB-19435,Consumer
AB-10150,Consumer
JH-15985,Consumer
RA-19945,Consumer
CM-12190,Consumer
PF-19165,Consumer
MJ-17740,Consumer
KW-16435,Consumer
JH-15820,Consumer
EN-13780,Consumer
JH-15910,Consumer
MT-17815,Consumer
CM-12115,Consumer
DK-12895,Consumer
GT-14755,Consumer
JW-16075,Consumer
EB-14110,Consumer
JK-16090,Consumer
OT-18730,Consumer
CC-12685,Consumer
DL-13330,Consumer
RH-19600,Consumer
RH-19555,Consumer
TG-21310,Consumer
DK-13090,Consumer
JE-15475,Consumer
JL-15850,Consumer
DL-12925,Consumer
FM-14380,Consumer
LH-17020,Consumer
AG-10900,Consumer
AB-10165,Consumer
TP-21130,Consumer
EM-13960,Consumer
BD-11320,Consumer
JJ-15445,Consumer
DJ-13630,Consumer
KC-16540,Consumer
DO-13645,Consumer
JH-16180,Consumer
JK-15370,Consumer
CM-12385,Consumer
BD-11725,Consumer
AW-10840,Consumer
DB-13405,Consumer
HM-14980,Consumer
JF-15355,Consumer
JD-15790,Consumer
TP-21415,Consumer
ML-18265,Consumer
BO-11425,Consumer
TS-21655,Consumer
AG-10675,Consumer
JF-15565,Consumer
JL-15235,Consumer
NP-18670,Consumer
EG-13900,Consumer
GB-14575,Consumer
AH-10465,Consumer
SJ-20215,Consumer
CM-11935,Consumer
FH-14350,Consumer
SW-20455,Consumer
LC-16870,Consumer
CS-11950,Consumer
RO-19780,Consumer
LT-17110,Consumer
SS-20875,Consumer
SC-20800,Consumer
DB-13210,Consumer
BP-11155,Consumer
RK-19300,Consumer
SO-20335,Consumer
NM-18520,Consumer
SG-20080,Consumer
GH-14665,Consumer
AC-10450,Consumer
AF-10870,Consumer
CD-11980,Consumer
CM-12235,Consumer
SC-20845,Consumer
LP-17095,Consumer
AG-10330,Consumer
SK-19990,Consumer
BE-11410,Consumer
RB-19360,Consumer
LB-16735,Consumer
CM-12160,Consumer
JW-15955,Consumer
TB-21055,Consumer
CB-12415,Consumer
PF-19225,Consumer
VM-21835,Consumer
JB-16000,Consumer
JR-15670,Consumer
CJ-12010,Consumer
BD-11770,Consumer
SV-20935,Consumer
TB-21595,Consumer
SW-20275,Consumer
NS-18505,Consumer
DW-13540,Consumer
SM-20905,Consumer
AC-10660,Consumer
CC-12370,Consumer
JM-15580,Consumer
RW-19690,Consumer
CC-12475,Consumer
RR-19315,Consumer
CG-12520,Consumer
AR-10570,Consumer
JM-15250,Consumer
RB-19570,Consumer
CD-12280,Consumer
PT-19090,Consumer
JH-15430,Consumer
SB-20170,Consumer
JC-15385,Consumer
TM-21490,Consumer
HZ-14950,Consumer
JR-15700,Consumer
CC-12550,Consumer
CL-11890,Consumer
MK-18160,Consumer
CS-12460,Consumer
RM-19750,Consumer
MO-17950,Consumer
TS-21085,Consumer
EB-13705,Corporate
JM-15655,Corporate
NG-18355,Corporate
FH-14275,Corporate
DM-12955,Corporate
AY-10555,Corporate
CS-12250,Corporate
KB-16240,Corporate
TS-21370,Corporate
DH-13075,Corporate
KH-16630,Corporate
GM-14695,Corporate
VG-21805,Corporate
DM-13525,Corporate
GR-14560,Corporate
LW-16825,Corporate
CM-12715,Corporate
EM-13825,Corporate
MC-17605,Corporate
JM-15265,Corporate
SP-20620,Corporate
TB-21175,Corporate
MH-17440,Corporate
JG-15805,Corporate
CK-12760,Corporate
MY-18295,Corporate
JO-15145,Corporate
BS-11590,Corporate
GG-14650,Corporate
RB-19645,Corporate
RS-19765,Corporate
AJ-10795,Corporate
GZ-14545,Corporate
BT-11395,Corporate
LA-16780,Corporate
JP-15460,Corporate
ES-14080,Corporate
AJ-10780,Corporate
AR-10825,Corporate
CS-12175,Corporate
LC-16930,Corporate
VP-21760,Corporate
BF-10975,Corporate
LR-17035,Corporate
SP-20650,Corporate
AS-10225,Corporate
RW-19630,Corporate
NH-18610,Corporate
TS-21430,Corporate
KL-16555,Corporate
DJ-13510,Corporate
GD-14590,Corporate
KE-16420,Corporate
KN-16450,Corporate
AH-10030,Corporate
EA-14035,Corporate
DB-13555,Corporate
NC-18535,Corporate
TH-21235,Corporate
FM-14215,Corporate
LS-17200,Corporate
AB-10600,Corporate
VW-21775,Corporate
MS-17980,Corporate
ME-18010,Corporate
MW-18235,Corporate
JD-16150,Corporate
YC-21895,Corporate
SP-20860,Corporate
DM-13345,Corporate
DW-13585,Corporate
SS-20140,Corporate
TS-21205,Corporate
ON-18715,Corporate
ML-17395,Corporate
JD-15895,Corporate
SB-20290,Corporate
SM-20950,Corporate
SP-20545,Corporate
DW-13195,Corporate
TC-20980,Corporate
RF-19345,Corporate
SH-20635,Corporate
MH-17785,Corporate
CC-12610,Corporate
KD-16495,Corporate
PW-19030,Corporate
BM-11650,Corporate
NB-18655,Corporate
RR-19525,Corporate
HG-14965,Corporate
HR-14830,Corporate
CP-12085,Corporate
CM-11815,Corporate
MC-17590,Corporate
BG-11695,Corporate
QJ-19255,Corporate
MZ-17515,Corporate
SC-20260,Corporate
RA-19885,Corporate
KB-16585,Corporate
HM-14860,Corporate
KC-16675,Corporate
AC-10420,Corporate
CS-11845,Corporate
KB-16600,Corporate
ND-18460,Corporate
AM-10360,Corporate
MC-18130,Corporate
KN-16390,Corporate
DS-13180,Corporate
Dl-13600,Corporate
SW-20755,Corporate
HH-15010,Corporate
PJ-18835,Corporate
GP-14740,Corporate
BP-11095,Corporate
KH-16330,Corporate
EH-13765,Corporate
BN-11470,Corporate
DG-13300,Corporate
GB-14530,Corporate
MC-17425,Corporate
JC-16105,Corporate
DK-12835,Corporate
DJ-13420,Corporate
HK-14890,Corporate
EB-13840,Corporate
AG-10300,Corporate
BF-11275,Corporate
TH-21115,Corporate
PB-19210,Corporate
MF-18250,Corporate
PC-18745,Corporate
SC-20695,Corporate
NB-18580,Corporate
RP-19270,Corporate
FA-14230,Corporate
DK-13225,Corporate
AR-10405,Corporate
AG-10525,Corporate
NS-18640,Corporate
GT-14635,Corporate
AH-10075,Corporate
AH-10690,Corporate
MK-17905,Corporate
KH-16690,Corporate
KC-16255,Corporate
GK-14620,Corporate
MC-17635,Corporate
BF-11020,Corporate
DK-13150,Corporate
NC-18625,Corporate
CA-11965,Corporate
BS-11365,Corporate
BB-10990,Corporate
FH-14365,Corporate
SF-20965,Corporate
CB-12535,Corporate
AC-10615,Corporate
DB-13120,Corporate
HW-14935,Corporate
BV-11245,Corporate
SC-20440,Corporate
DR-12880,Corporate
LO-17170,Corporate
TP-21565,Corporate
AG-10495,Corporate
BM-11575,Corporate
CP-12340,Corporate
BW-11110,Corporate
BB-11545,Corporate
FC-14335,Corporate
KM-16225,Corporate
CY-12745,Corporate
MP-17965,Corporate
VB-21745,Corporate
EM-13810,Corporate
LS-16945,Corporate
MM-18280,Corporate
FW-14395,Corporate
JB-15400,Corporate
JE-15610,Corporate
RW-19540,Corporate
AH-10195,Corporate
SV-20815,Corporate
ER-13855,Corporate
EB-13750,Corporate
CS-12490,Corporate
YS-21880,Corporate
RP-19855,Corporate
GH-14485,Corporate
DP-13105,Corporate
MY-17380,Corporate
AR-10345,Corporate
SC-20770,Corporate
DB-12970,Corporate
JR-16210,Corporate
BS-11380,Corporate
JS-15595,Corporate
SH-19975,Corporate
TS-21160,Corporate
DL-13495,Corporate
KS-16300,Corporate
MH-17620,Corporate
TT-21265,Corporate
EM-14095,Corporate
BP-11185,Corporate
BO-11350,Corporate
DV-13045,Corporate
SC-20230,Corporate
BP-11050,Corporate
JS-15685,Corporate
AS-10285,Corporate
MF-17665,Corporate
JE-16165,Corporate
HE-14800,Corporate
JG-15310,Corporate
TB-21355,Corporate
CV-12805,Corporate
JW-15220,Corporate
EB-13975,Corporate
SG-20890,Corporate
KD-16615,Corporate
AO-10810,Corporate
AS-10045,Corporate
LD-16855,Corporate
JK-15325,Corporate
CJ-11875,Corporate
MD-17860,Corporate
LW-16990,Corporate
ML-18040,Corporate
MG-18205,Corporate
RS-19420,Corporate
CA-12310,Corporate
TC-21145,Corporate
NF-18475,Home Office
EH-14125,Home Office
DR-12940,Home Office
DB-13360,Home Office
TW-21025,Home Office
AS-10630,Home Office
SD-20485,Home Office
FG-14260,Home Office
BF-11215,Home Office
MG-17875,Home Office
CK-12325,Home Office
BT-11530,Home Office
SZ-20035,Home Office
PK-18910,Home Office
DH-13675,Home Office
DP-13390,Home Office
DB-13270,Home Office
KN-16705,Home Office
DB-12910,Home Office
DE-13255,Home Office
MG-17680,Home Office
BF-11170,Home Office
ED-13885,Home Office
CR-12625,Home Office
AT-10435,Home Office
NM-18445,Home Office
EK-13795,Home Office
PO-19195,Home Office
DS-13030,Home Office
BC-11125,Home Office
VF-21715,Home Office
TH-21550,Home Office
JP-16135,Home Office
GH-14410,Home Office
DA-13450,Home Office
MH-17290,Home Office
Dp-13240,Home Office
MR-17545,Home Office
RB-19465,Home Office
MG-17890,Home Office
MP-18175,Home Office
HD-14785,Home Office
JK-16120,Home Office
HP-14815,Home Office
AB-10255,Home Office
FM-14290,Home Office
AH-10120,Home Office
SS-20515,Home Office
MA-17560,Home Office
SL-20155,Home Office
PP-18955,Home Office
CS-12400,Home Office
AP-10720,Home Office
AD-10180,Home Office
JS-15940,Home Office
DW-13480,Home Office
MA-17995,Home Office
KF-16285,Home Office
KM-16375,Home Office
SR-20740,Home Office
CW-11905,Home Office
CC-12100,Home Office
PS-19045,Home Office
LS-16975,Home Office
GM-14455,Home Office
CD-12790,Home Office
EH-14005,Home Office
TN-21040,Home Office
SR-20425,Home Office
RB-19795,Home Office
BF-11005,Home Office
SM-20320,Home Office
MP-17470,Home Office
JK-15640,Home Office
RD-19810,Home Office
PA-19060,Home Office
RH-19510,Home Office
VT-21700,Home Office
TC-21535,Home Office
SC-20680,Home Office
RM-19675,Home Office
PV-18985,Home Office
TB-21190,Home Office
VM-21685,Home Office
MG-17650,Home Office
BT-11305,Home Office
ME-17320,Home Office
EM-14140,Home Office
PL-18925,Home Office
NF-18595,Home Office
HJ-14875,Home Office
SJ-20125,Home Office
JJ-15760,Home Office
HR-14770,Home Office
FC-14245,Home Office
JB-16045,Home Office
AG-10765,Home Office
LC-16960,Home Office
KB-16405,Home Office
BE-11455,Home Office
SN-20710,Home Office
MZ-17335,Home Office
NK-18490,Home Office
JO-15550,Home Office
RB-19705,Home Office
PO-19180,Home Office
SN-20560,Home Office
BS-11800,Home Office
CH-12070,Home Office
NP-18685,Home Office
CR-12820,Home Office
VP-21730,Home Office
MO-17800,Home Office
SC-20050,Home Office
SU-20665,Home Office
TT-21460,Home Office
PS-18970,Home Office
CM-12655,Home Office
EM-14200,Home Office
PN-18775,Home Office
NZ-18565,Home Office
AW-10930,Home Office
RD-19660,Home Office
PB-18805,Home Office
AB-10060,Home Office
CC-12430,Home Office
TC-21475,Home Office
PC-19000,Home Office
MT-18070,Home Office
JL-15175,Home Office
CG-12040,Home Office
CA-12055,Home Office
BD-11560,Home Office
BT-11485,Home Office
CR-12580,Home Office
RS-19870,Home Office
CL-12700,Home Office
ML-17755,Home Office
EL-13735,Home Office
LB-16795,Home Office
BE-11335,Home Office
SW-20350,Home Office
TA-21385,Home Office
NL-18310,Home Office
AS-10135,Home Office
PM-19135,Home Office
PH-18790,Home Office
MH-18115,Home Office
