OrderID,Order Date,Ship Date,Ship Mode,CustomerID,LocationID
CA-2015-136658,9/10/2015 0:00,9/17/2015 0:00,Standard Class,BO-11425,1
CA-2015-137225,12/15/2015 0:00,12/19/2015 0:00,Standard Class,JK-15640,1
CA-2015-137897,11/14/2015 0:00,11/19/2015 0:00,Standard Class,PJ-18835,1
CA-2015-137925,11/30/2015 0:00,12/4/2015 0:00,Standard Class,JL-15235,1
CA-2015-139584,8/24/2015 0:00,8/28/2015 0:00,Standard Class,EM-13810,1
CA-2015-140557,9/7/2015 0:00,9/11/2015 0:00,Standard Class,TN-21040,1
CA-2015-140984,9/14/2015 0:00,9/18/2015 0:00,Standard Class,CC-12685,1
CA-2015-141740,11/1/2015 0:00,11/5/2015 0:00,Standard Class,JF-15490,1
CA-2015-142475,12/3/2015 0:00,12/7/2015 0:00,Standard Class,BS-11380,1
CA-2015-142734,4/16/2015 0:00,4/21/2015 0:00,Standard Class,DM-13345,1
CA-2015-143980,12/25/2015 0:00,12/29/2015 0:00,Standard Class,JK-15640,1
CA-2015-144386,11/5/2015 0:00,11/11/2015 0:00,Standard Class,GT-14635,1
CA-2015-145814,11/19/2015 0:00,11/24/2015 0:00,Standard Class,KD-16345,1
CA-2015-147851,12/3/2015 0:00,12/8/2015 0:00,Standard Class,MP-17470,1
CA-2015-148712,4/17/2015 0:00,4/23/2015 0:00,Standard Class,JM-15535,1
CA-2015-150791,9/6/2015 0:00,9/13/2015 0:00,Standard Class,CC-12430,1
CA-2015-153906,3/16/2015 0:00,3/20/2015 0:00,Standard Class,MS-17980,1
CA-2015-156524,11/20/2015 0:00,11/26/2015 0:00,Standard Class,DL-12865,1
CA-2015-161711,11/28/2015 0:00,12/3/2015 0:00,Standard Class,MC-17425,1
CA-2015-163762,11/27/2015 0:00,12/1/2015 0:00,Standard Class,JE-15475,1
CA-2015-164084,9/7/2015 0:00,9/12/2015 0:00,Standard Class,AG-10525,1
CA-2015-164441,11/8/2015 0:00,11/13/2015 0:00,Standard Class,AC-10450,1
CA-2015-164539,11/16/2015 0:00,11/22/2015 0:00,Standard Class,PO-19180,1
CA-2015-166464,9/12/2015 0:00,9/17/2015 0:00,Standard Class,PG-18895,1
CA-2015-169796,11/9/2015 0:00,11/14/2015 0:00,Standard Class,Dp-13240,1
CA-2016-100510,5/12/2016 0:00,5/17/2016 0:00,Standard Class,HM-14860,1
CA-2016-100587,12/10/2016 0:00,12/14/2016 0:00,Standard Class,SL-20155,1
CA-2016-100790,6/26/2016 0:00,7/2/2016 0:00,Standard Class,JG-15805,1
CA-2016-101161,10/13/2016 0:00,10/20/2016 0:00,Standard Class,BW-11110,1
CA-2016-101336,11/13/2016 0:00,11/18/2016 0:00,Standard Class,CK-12760,1
CA-2016-101623,2/28/2016 0:00,3/6/2016 0:00,Standard Class,RR-19525,1
CA-2016-102127,6/26/2016 0:00,7/2/2016 0:00,Standard Class,VP-21760,1
CA-2016-103359,12/22/2016 0:00,12/26/2016 0:00,Standard Class,LC-16885,1
CA-2016-105263,8/6/2016 0:00,8/11/2016 0:00,Standard Class,LM-17065,1
CA-2016-105781,2/16/2016 0:00,2/20/2016 0:00,Standard Class,JF-15565,1
CA-2016-105816,12/11/2016 0:00,12/17/2016 0:00,Standard Class,JM-15265,1
CA-2016-106075,9/18/2016 0:00,9/23/2016 0:00,Standard Class,HM-14980,1
CA-2016-106243,9/30/2016 0:00,10/4/2016 0:00,Standard Class,GM-14680,1
CA-2016-109666,4/19/2016 0:00,4/26/2016 0:00,Standard Class,KM-16720,1
CA-2016-110975,12/25/2016 0:00,12/30/2016 0:00,Standard Class,DB-12970,1
CA-2016-111213,4/1/2016 0:00,4/5/2016 0:00,Standard Class,FP-14320,1
CA-2016-111416,9/17/2016 0:00,9/22/2016 0:00,Standard Class,LW-17215,1
CA-2016-113607,10/14/2016 0:00,10/18/2016 0:00,Standard Class,PW-19030,1
CA-2016-114895,11/21/2016 0:00,11/28/2016 0:00,Standard Class,MV-18190,1
CA-2016-116596,10/27/2016 0:00,10/31/2016 0:00,Standard Class,BW-11200,1
CA-2016-116603,7/17/2016 0:00,7/22/2016 0:00,Standard Class,AT-10735,1
CA-2016-117282,7/14/2016 0:00,7/18/2016 0:00,Standard Class,DR-12880,1
CA-2016-119865,6/21/2016 0:00,6/26/2016 0:00,Standard Class,AS-10090,1
CA-2016-120530,4/7/2016 0:00,4/12/2016 0:00,Standard Class,Dl-13600,1
CA-2016-122581,8/21/2016 0:00,8/25/2016 0:00,Standard Class,JK-15370,1
CA-2016-123015,12/26/2016 0:00,12/30/2016 0:00,Standard Class,AJ-10795,1
CA-2016-123120,9/4/2016 0:00,9/8/2016 0:00,Standard Class,CV-12295,1
CA-2016-123274,2/19/2016 0:00,2/24/2016 0:00,Standard Class,GT-14710,1
CA-2016-123666,3/26/2016 0:00,3/30/2016 0:00,Standard Class,SP-20545,1
CA-2016-124100,3/31/2016 0:00,4/6/2016 0:00,Standard Class,EH-13990,1
CA-2016-124667,11/11/2016 0:00,11/16/2016 0:00,Standard Class,BD-11770,1
CA-2016-125164,11/10/2016 0:00,11/14/2016 0:00,Standard Class,SH-19975,1
CA-2016-127194,12/10/2016 0:00,12/16/2016 0:00,Standard Class,BW-11110,1
CA-2016-127761,11/10/2016 0:00,11/14/2016 0:00,Standard Class,SW-20275,1
CA-2016-128727,8/29/2016 0:00,9/4/2016 0:00,Standard Class,MO-17800,1
CA-2016-128818,5/7/2016 0:00,5/11/2016 0:00,Standard Class,CJ-12010,1
CA-2016-129126,12/14/2016 0:00,12/19/2016 0:00,Standard Class,PK-19075,1
CA-2016-130407,9/2/2016 0:00,9/6/2016 0:00,Standard Class,KD-16270,1
CA-2016-132066,10/16/2016 0:00,10/20/2016 0:00,Standard Class,NB-18655,1
CA-2016-132661,10/23/2016 0:00,10/29/2016 0:00,Standard Class,SR-20740,1
CA-2016-132899,4/7/2016 0:00,4/11/2016 0:00,Standard Class,SF-20200,1
CA-2016-133319,9/5/2016 0:00,9/11/2016 0:00,Standard Class,MV-17485,1
CA-2016-134376,10/2/2016 0:00,10/6/2016 0:00,Standard Class,TT-21265,1
CA-2016-136329,7/9/2016 0:00,7/13/2016 0:00,Standard Class,JD-15895,1
CA-2016-137337,3/8/2016 0:00,3/12/2016 0:00,Standard Class,GB-14575,1
CA-2016-137848,1/15/2016 0:00,1/21/2016 0:00,Standard Class,WB-21850,1
CA-2016-138520,4/8/2016 0:00,4/13/2016 0:00,Standard Class,JL-15505,1
CA-2016-139157,10/1/2016 0:00,10/5/2016 0:00,Standard Class,GM-14680,1
CA-2016-139556,4/26/2016 0:00,5/1/2016 0:00,Standard Class,DB-13360,1
CA-2016-139885,12/4/2016 0:00,12/8/2016 0:00,Standard Class,EB-13840,1
CA-2016-140501,6/23/2016 0:00,6/28/2016 0:00,Standard Class,IM-15070,1
CA-2016-143910,8/12/2016 0:00,8/16/2016 0:00,Standard Class,BC-11125,1
CA-2016-144785,4/18/2016 0:00,4/23/2016 0:00,Standard Class,CS-12490,1
CA-2016-144939,10/3/2016 0:00,10/8/2016 0:00,Standard Class,EB-13870,1
CA-2016-145548,11/11/2016 0:00,11/16/2016 0:00,Standard Class,EB-13750,1
CA-2016-145611,9/20/2016 0:00,9/24/2016 0:00,Standard Class,HA-14905,1
CA-2016-147431,2/2/2016 0:00,2/7/2016 0:00,Standard Class,AB-10105,1
CA-2016-147536,12/26/2016 0:00,12/31/2016 0:00,Standard Class,AR-10510,1
CA-2016-149797,9/15/2016 0:00,9/20/2016 0:00,Standard Class,AH-10075,1
CA-2016-149902,4/1/2016 0:00,4/6/2016 0:00,Standard Class,DW-13540,1
CA-2016-151561,9/1/2016 0:00,9/7/2016 0:00,Standard Class,PG-18820,1
CA-2016-152408,5/15/2016 0:00,5/21/2016 0:00,Standard Class,TT-21220,1
CA-2016-153353,8/18/2016 0:00,8/24/2016 0:00,Standard Class,GG-14650,1
CA-2016-153836,10/30/2016 0:00,11/3/2016 0:00,Standard Class,EH-13765,1
CA-2016-154711,11/22/2016 0:00,11/26/2016 0:00,Standard Class,TB-21355,1
CA-2016-154788,4/30/2016 0:00,5/4/2016 0:00,Standard Class,JL-15835,1
CA-2016-157259,12/24/2016 0:00,12/28/2016 0:00,Standard Class,JM-15535,1
CA-2016-158001,8/23/2016 0:00,8/27/2016 0:00,Standard Class,JP-15460,1
CA-2016-158155,5/2/2016 0:00,5/6/2016 0:00,Standard Class,EH-13765,1
CA-2016-161158,5/9/2016 0:00,5/13/2016 0:00,Standard Class,PS-18970,1
CA-2016-161473,4/1/2016 0:00,4/5/2016 0:00,Standard Class,TB-21175,1
CA-2016-164511,11/19/2016 0:00,11/24/2016 0:00,Standard Class,DJ-13630,1
CA-2016-166618,11/14/2016 0:00,11/18/2016 0:00,Standard Class,DP-13000,1
CA-2016-167115,4/4/2016 0:00,4/9/2016 0:00,Standard Class,EH-14185,1
CA-2016-167556,3/29/2016 0:00,4/2/2016 0:00,Standard Class,JM-15250,1
CA-2016-168543,7/3/2016 0:00,7/7/2016 0:00,Standard Class,DK-13225,1
CA-2016-168844,5/31/2016 0:00,6/6/2016 0:00,Standard Class,NM-18520,1
CA-2016-169670,12/25/2016 0:00,12/31/2016 0:00,Standard Class,JE-15715,1
CA-2016-169824,12/12/2016 0:00,12/17/2016 0:00,Standard Class,NS-18640,1
CA-2016-169943,5/19/2016 0:00,5/24/2016 0:00,Standard Class,BN-11515,1
CA-2017-100111,9/20/2017 0:00,9/26/2017 0:00,Standard Class,SV-20365,1
CA-2017-100230,12/11/2017 0:00,12/15/2017 0:00,Standard Class,AA-10375,1
CA-2017-100433,8/11/2017 0:00,8/16/2017 0:00,Standard Class,SJ-20125,1
CA-2017-100636,6/26/2017 0:00,6/30/2017 0:00,Standard Class,DO-13435,1
CA-2017-101798,12/11/2017 0:00,12/15/2017 0:00,Standard Class,MV-18190,1
CA-2017-102197,12/20/2017 0:00,12/26/2017 0:00,Standard Class,DK-13150,1
CA-2017-102771,3/31/2017 0:00,4/5/2017 0:00,Standard Class,DO-13435,1
CA-2017-103443,12/17/2017 0:00,12/23/2017 0:00,Standard Class,AT-10735,1
CA-2017-104640,11/10/2017 0:00,11/16/2017 0:00,Standard Class,FH-14275,1
CA-2017-104906,2/13/2017 0:00,2/17/2017 0:00,Standard Class,JP-15460,1
CA-2017-105193,3/25/2017 0:00,3/31/2017 0:00,Standard Class,JL-15835,1
CA-2017-105235,12/5/2017 0:00,12/11/2017 0:00,Standard Class,SM-20950,1
CA-2017-105333,11/30/2017 0:00,12/4/2017 0:00,Standard Class,VP-21730,1
CA-2017-106943,11/14/2017 0:00,11/19/2017 0:00,Standard Class,FO-14305,1
CA-2017-107132,6/26/2017 0:00,6/30/2017 0:00,Standard Class,SC-20260,1
CA-2017-107874,11/21/2017 0:00,11/25/2017 0:00,Standard Class,SW-20275,1
CA-2017-108441,6/12/2017 0:00,6/18/2017 0:00,Standard Class,SB-20170,1
CA-2017-108553,4/23/2017 0:00,4/29/2017 0:00,Standard Class,SK-19990,1
CA-2017-108931,9/14/2017 0:00,9/19/2017 0:00,Standard Class,HZ-14950,1
CA-2017-109099,10/6/2017 0:00,10/11/2017 0:00,Standard Class,MM-18280,1
CA-2017-109211,4/4/2017 0:00,4/10/2017 0:00,Standard Class,PS-19045,1
CA-2017-109750,7/22/2017 0:00,7/28/2017 0:00,Standard Class,FH-14365,1
CA-2017-110884,3/7/2017 0:00,3/12/2017 0:00,Standard Class,SH-20395,1
CA-2017-113572,11/7/2017 0:00,11/11/2017 0:00,Standard Class,FP-14320,1
CA-2017-113908,6/3/2017 0:00,6/9/2017 0:00,Standard Class,KN-16390,1
CA-2017-115105,2/6/2017 0:00,2/11/2017 0:00,Standard Class,BD-11770,1
CA-2017-115546,5/14/2017 0:00,5/18/2017 0:00,Standard Class,AH-10465,1
CA-2017-115602,12/18/2017 0:00,12/24/2017 0:00,Standard Class,DJ-13630,1
CA-2017-116225,11/5/2017 0:00,11/9/2017 0:00,Standard Class,SV-20935,1
CA-2017-117240,7/23/2017 0:00,7/28/2017 0:00,Standard Class,CP-12340,1
CA-2017-117863,5/18/2017 0:00,5/23/2017 0:00,Standard Class,TS-21340,1
CA-2017-117933,12/24/2017 0:00,12/29/2017 0:00,Standard Class,RF-19840,1
CA-2017-118360,4/1/2017 0:00,4/7/2017 0:00,Standard Class,JC-15775,1
CA-2017-118521,2/16/2017 0:00,2/20/2017 0:00,Standard Class,LF-17185,1
CA-2017-122308,3/24/2017 0:00,3/28/2017 0:00,Standard Class,MV-17485,1
CA-2017-123043,8/24/2017 0:00,8/29/2017 0:00,Standard Class,AH-10195,1
CA-2017-123372,11/28/2017 0:00,12/2/2017 0:00,Standard Class,DG-13300,1
CA-2017-123981,10/2/2017 0:00,10/8/2017 0:00,Standard Class,RW-19630,1
CA-2017-125367,7/23/2017 0:00,7/30/2017 0:00,Standard Class,NM-18445,1
CA-2017-131233,4/14/2017 0:00,4/19/2017 0:00,Standard Class,CS-12355,1
CA-2017-131653,1/29/2017 0:00,2/5/2017 0:00,Standard Class,RD-19585,1
CA-2017-131695,6/30/2017 0:00,7/6/2017 0:00,Standard Class,RA-19285,1
CA-2017-133620,11/13/2017 0:00,11/18/2017 0:00,Standard Class,EM-14065,1
CA-2017-135377,12/13/2017 0:00,12/18/2017 0:00,Standard Class,BP-11095,1
CA-2017-140844,6/19/2017 0:00,6/23/2017 0:00,Standard Class,AR-10405,1
CA-2017-141873,10/9/2017 0:00,10/14/2017 0:00,Standard Class,HG-14845,1
CA-2017-143112,10/5/2017 0:00,10/9/2017 0:00,Standard Class,TS-21370,1
CA-2017-143259,12/30/2017 0:00,1/3/2018 0:00,Standard Class,PO-18865,1
CA-2017-144596,11/6/2017 0:00,11/10/2017 0:00,Standard Class,CD-11980,1
CA-2017-144904,9/25/2017 0:00,10/1/2017 0:00,Standard Class,KW-16435,1
CA-2017-146780,12/25/2017 0:00,12/30/2017 0:00,Standard Class,CV-12805,1
CA-2017-147564,10/2/2017 0:00,10/6/2017 0:00,Standard Class,BP-11155,1
CA-2017-148068,9/18/2017 0:00,9/25/2017 0:00,Standard Class,MM-18280,1
CA-2017-148691,12/3/2017 0:00,12/9/2017 0:00,Standard Class,CS-12460,1
CA-2017-148929,9/7/2017 0:00,9/11/2017 0:00,Standard Class,SP-20620,1
CA-2017-154137,11/11/2017 0:00,11/17/2017 0:00,Standard Class,MT-17815,1
CA-2017-154935,12/24/2017 0:00,12/29/2017 0:00,Standard Class,AR-10540,1
CA-2017-155607,11/26/2017 0:00,11/30/2017 0:00,Standard Class,FG-14260,1
CA-2017-157987,9/2/2017 0:00,9/6/2017 0:00,Standard Class,AC-10615,1
CA-2017-161480,12/25/2017 0:00,12/29/2017 0:00,Standard Class,RA-19285,1
CA-2017-163020,9/15/2017 0:00,9/19/2017 0:00,Standard Class,MO-17800,1
CA-2017-163531,6/26/2017 0:00,6/30/2017 0:00,Standard Class,SC-20725,1
CA-2017-164826,12/28/2017 0:00,1/4/2018 0:00,Standard Class,JF-15415,1
CA-2017-165323,6/17/2017 0:00,6/21/2017 0:00,Standard Class,SR-20740,1
CA-2017-166436,11/24/2017 0:00,11/28/2017 0:00,Standard Class,TS-21370,1
CA-2017-167080,6/10/2017 0:00,6/14/2017 0:00,Standard Class,LC-16930,1
CA-2017-168172,8/6/2017 0:00,8/10/2017 0:00,Standard Class,SH-20395,1
CA-2017-168641,11/24/2017 0:00,12/1/2017 0:00,Standard Class,KA-16525,1
CA-2017-168858,11/19/2017 0:00,11/23/2017 0:00,Standard Class,JD-16150,1
CA-2017-169999,6/19/2017 0:00,6/26/2017 0:00,Standard Class,JS-15685,1
US-2014-111353,11/29/2014 0:00,12/6/2014 0:00,Standard Class,PB-19150,1
US-2014-121566,6/30/2014 0:00,7/6/2014 0:00,Standard Class,CS-11860,1
US-2014-135881,5/23/2014 0:00,5/27/2014 0:00,Standard Class,GT-14710,1
US-2014-143707,3/1/2014 0:00,3/5/2014 0:00,Standard Class,HR-14770,1
US-2014-148838,3/17/2014 0:00,3/21/2014 0:00,Standard Class,CP-12340,1
US-2014-150126,7/27/2014 0:00,8/2/2014 0:00,Standard Class,AS-10045,1
US-2015-109015,9/6/2015 0:00,9/12/2015 0:00,Standard Class,BS-11590,1
US-2015-126977,9/17/2015 0:00,9/23/2015 0:00,Standard Class,PF-19120,1
US-2015-127040,12/6/2015 0:00,12/10/2015 0:00,Standard Class,SG-20605,1
US-2015-138919,9/17/2015 0:00,9/21/2015 0:00,Standard Class,LS-16975,1
US-2015-141684,6/29/2015 0:00,7/4/2015 0:00,Standard Class,MM-18055,1
US-2015-153283,11/12/2015 0:00,11/18/2015 0:00,Standard Class,EB-14110,1
US-2015-156797,8/11/2015 0:00,8/15/2015 0:00,Standard Class,PO-19180,1
US-2015-157154,1/10/2015 0:00,1/15/2015 0:00,Standard Class,MM-17920,1
US-2015-160857,5/8/2015 0:00,5/15/2015 0:00,Standard Class,NW-18400,1
US-2016-102141,8/26/2016 0:00,8/31/2016 0:00,Standard Class,KD-16615,1
US-2016-113677,11/13/2016 0:00,11/19/2016 0:00,Standard Class,CM-12655,1
US-2016-127425,8/26/2016 0:00,8/31/2016 0:00,Standard Class,DR-12880,1
US-2016-155103,12/2/2016 0:00,12/7/2016 0:00,Standard Class,JF-15190,1
US-2016-155180,1/22/2016 0:00,1/29/2016 0:00,Standard Class,TB-21280,1
US-2016-162859,2/15/2016 0:00,2/22/2016 0:00,Standard Class,PG-18820,1
US-2016-164945,11/22/2016 0:00,11/27/2016 0:00,Standard Class,CA-12055,1
US-2017-101840,2/6/2017 0:00,2/12/2017 0:00,Standard Class,SP-20545,1
US-2017-102183,8/21/2017 0:00,8/28/2017 0:00,Standard Class,PK-19075,1
US-2017-104437,1/27/2017 0:00,1/31/2017 0:00,Standard Class,TG-21310,1
US-2017-104955,3/19/2017 0:00,3/24/2017 0:00,Standard Class,CG-12040,1
US-2017-108343,7/20/2017 0:00,7/25/2017 0:00,Standard Class,AR-10825,1
US-2017-118535,2/11/2017 0:00,2/15/2017 0:00,Standard Class,DJ-13510,1
US-2017-123204,7/21/2017 0:00,7/27/2017 0:00,Standard Class,CS-11860,1
US-2017-136868,10/6/2017 0:00,10/12/2017 0:00,Standard Class,CR-12820,1
US-2017-140074,3/23/2017 0:00,3/29/2017 0:00,Standard Class,EC-14050,1
US-2017-146906,3/13/2017 0:00,3/17/2017 0:00,Standard Class,MT-17815,1
US-2017-148866,9/19/2017 0:00,9/24/2017 0:00,Standard Class,JM-15535,1
US-2017-155866,11/17/2017 0:00,11/21/2017 0:00,Standard Class,CC-12370,1
US-2017-166037,1/28/2017 0:00,2/1/2017 0:00,Standard Class,CL-12700,1
US-2017-168613,10/8/2017 0:00,10/14/2017 0:00,Standard Class,GM-14440,1
CA-2014-101462,4/20/2014 0:00,4/25/2014 0:00,Standard Class,BP-11230,18
CA-2014-102652,4/6/2014 0:00,4/12/2014 0:00,Standard Class,AY-10555,18
CA-2014-104178,8/25/2014 0:00,8/29/2014 0:00,Standard Class,JM-15265,18
CA-2014-105270,11/11/2014 0:00,11/18/2014 0:00,Standard Class,AP-10915,18
CA-2014-106439,10/31/2014 0:00,11/4/2014 0:00,Standard Class,GG-14650,18
CA-2014-107139,7/5/2014 0:00,7/11/2014 0:00,Standard Class,DP-13390,18
CA-2014-109134,11/5/2014 0:00,11/10/2014 0:00,Standard Class,DE-13255,18
CA-2014-110184,7/12/2014 0:00,7/16/2014 0:00,Standard Class,BF-11170,18
CA-2014-110849,4/18/2014 0:00,4/23/2014 0:00,Standard Class,JL-15835,18
CA-2014-112291,4/3/2014 0:00,4/8/2014 0:00,Standard Class,KE-16420,18
CA-2014-113768,5/13/2014 0:00,5/19/2014 0:00,Standard Class,AH-10030,18
CA-2014-114125,7/9/2014 0:00,7/13/2014 0:00,Standard Class,GH-14410,18
CA-2014-114643,6/13/2014 0:00,6/17/2014 0:00,Standard Class,FM-14215,18
CA-2014-115812,6/9/2014 0:00,6/14/2014 0:00,Standard Class,BH-11710,18
CA-2014-116785,4/26/2014 0:00,4/30/2014 0:00,Standard Class,MH-17290,18
CA-2014-118962,8/5/2014 0:00,8/9/2014 0:00,Standard Class,CS-12130,18
CA-2014-121664,5/6/2014 0:00,5/10/2014 0:00,Standard Class,HP-14815,18
CA-2014-122679,7/22/2014 0:00,7/28/2014 0:00,Standard Class,AB-10255,18
CA-2014-123260,8/26/2014 0:00,8/30/2014 0:00,Standard Class,FM-14290,18
CA-2014-123855,6/18/2014 0:00,6/23/2014 0:00,Standard Class,MC-18100,18
CA-2014-125150,5/16/2014 0:00,5/23/2014 0:00,Standard Class,PW-19030,18
CA-2014-125829,11/4/2014 0:00,11/11/2014 0:00,Standard Class,WB-21850,18
CA-2014-133704,9/20/2014 0:00,9/26/2014 0:00,Standard Class,MA-17995,18
CA-2014-133830,12/5/2014 0:00,12/10/2014 0:00,Standard Class,RL-19615,18
CA-2014-135090,11/22/2014 0:00,11/26/2014 0:00,Standard Class,SP-20920,18
CA-2014-138436,3/26/2014 0:00,3/30/2014 0:00,Standard Class,JD-15895,18
CA-2014-146969,9/29/2014 0:00,10/3/2014 0:00,Standard Class,AP-10915,18
CA-2014-147298,4/26/2014 0:00,5/3/2014 0:00,Standard Class,AG-10300,18
CA-2014-148614,1/20/2014 0:00,1/25/2014 0:00,Standard Class,MV-17485,18
CA-2014-151295,11/12/2014 0:00,11/16/2014 0:00,Standard Class,JA-15970,18
CA-2014-156349,5/26/2014 0:00,5/30/2014 0:00,Standard Class,ML-17395,18
CA-2014-158029,5/26/2014 0:00,5/30/2014 0:00,Standard Class,HF-14995,18
CA-2014-158064,4/21/2014 0:00,4/25/2014 0:00,Standard Class,AA-10375,18
CA-2014-164903,2/20/2014 0:00,2/24/2014 0:00,Standard Class,SR-20740,18
CA-2014-168305,11/1/2014 0:00,11/8/2014 0:00,Standard Class,PL-18925,18
CA-2015-100573,9/25/2015 0:00,10/1/2015 0:00,Standard Class,AM-10705,18
CA-2015-103835,9/24/2015 0:00,9/28/2015 0:00,Standard Class,SC-20440,18
